household_id,zone_id,name,email,archetype
zone_0_hh_00,zone_0,Household 1,demo+zone_0_hh00@resend.dev,family
zone_0_hh_01,zone_0,Household 2,demo+zone_0_hh01@resend.dev,single_professional
zone_0_hh_02,zone_0,Household 3,demo+zone_0_hh02@resend.dev,wfh
zone_0_hh_03,zone_0,Household 4,demo+zone_0_hh03@resend.dev,retired
zone_0_hh_04,zone_0,Household 5,demo+zone_0_hh04@resend.dev,small_business
zone_0_hh_05,zone_0,Household 6,demo+zone_0_hh05@resend.dev,family
zone_0_hh_06,zone_0,Household 7,demo+zone_0_hh06@resend.dev,single_professional
zone_0_hh_07,zone_0,Household 8,demo+zone_0_hh07@resend.dev,wfh
zone_0_hh_08,zone_0,Household 9,demo+zone_0_hh08@resend.dev,retired
zone_0_hh_09,zone_0,Household 10,demo+zone_0_hh09@resend.dev,small_business
zone_0_hh_10,zone_0,Household 11,demo+zone_0_hh10@resend.dev,family
zone_0_hh_11,zone_0,Household 12,demo+zone_0_hh11@resend.dev,single_professional
zone_1_hh_00,zone_1,Household 1,demo+zone_1_hh00@resend.dev,family
zone_1_hh_01,zone_1,Household 2,demo+zone_1_hh01@resend.dev,single_professional
zone_1_hh_02,zone_1,Household 3,demo+zone_1_hh02@resend.dev,wfh
zone_1_hh_03,zone_1,Household 4,demo+zone_1_hh03@resend.dev,retired
zone_1_hh_04,zone_1,Household 5,demo+zone_1_hh04@resend.dev,small_business
zone_1_hh_05,zone_1,Household 6,demo+zone_1_hh05@resend.dev,family
zone_1_hh_06,zone_1,Household 7,demo+zone_1_hh06@resend.dev,single_professional
zone_1_hh_07,zone_1,Household 8,demo+zone_1_hh07@resend.dev,wfh
zone_1_hh_08,zone_1,Household 9,demo+zone_1_hh08@resend.dev,retired
zone_1_hh_09,zone_1,Household 10,demo+zone_1_hh09@resend.dev,small_business
zone_1_hh_10,zone_1,Household 11,demo+zone_1_hh10@resend.dev,family
zone_1_hh_11,zone_1,Household 12,demo+zone_1_hh11@resend.dev,single_professional
zone_2_hh_00,zone_2,Household 1,demo+zone_2_hh00@resend.dev,family
zone_2_hh_01,zone_2,Household 2,demo+zone_2_hh01@resend.dev,single_professional
zone_2_hh_02,zone_2,Household 3,demo+zone_2_hh02@resend.dev,wfh
zone_2_hh_03,zone_2,Household 4,demo+zone_2_hh03@resend.dev,retired
zone_2_hh_04,zone_2,Household 5,demo+zone_2_hh04@resend.dev,small_business
zone_2_hh_05,zone_2,Household 6,demo+zone_2_hh05@resend.dev,family
zone_2_hh_06,zone_2,Household 7,demo+zone_2_hh06@resend.dev,single_professional
zone_2_hh_07,zone_2,Household 8,demo+zone_2_hh07@resend.dev,wfh
zone_2_hh_08,zone_2,Household 9,demo+zone_2_hh08@resend.dev,retired
zone_2_hh_09,zone_2,Household 10,demo+zone_2_hh09@resend.dev,small_business
zone_2_hh_10,zone_2,Household 11,demo+zone_2_hh10@resend.dev,family
zone_2_hh_11,zone_2,Household 12,demo+zone_2_hh11@resend.dev,single_professional
zone_3_hh_00,zone_3,Household 1,demo+zone_3_hh00@resend.dev,family
zone_3_hh_01,zone_3,Household 2,demo+zone_3_hh01@resend.dev,single_professional
zone_3_hh_02,zone_3,Household 3,demo+zone_3_hh02@resend.dev,wfh
zone_3_hh_03,zone_3,Household 4,demo+zone_3_hh03@resend.dev,retired
zone_3_hh_04,zone_3,Household 5,demo+zone_3_hh04@resend.dev,small_business
zone_3_hh_05,zone_3,Household 6,demo+zone_3_hh05@resend.dev,family
zone_3_hh_06,zone_3,Household 7,demo+zone_3_hh06@resend.dev,single_professional
zone_3_hh_07,zone_3,Household 8,demo+zone_3_hh07@resend.dev,wfh
zone_3_hh_08,zone_3,Household 9,demo+zone_3_hh08@resend.dev,retired
zone_3_hh_09,zone_3,Household 10,demo+zone_3_hh09@resend.dev,small_business
zone_3_hh_10,zone_3,Household 11,demo+zone_3_hh10@resend.dev,family
zone_3_hh_11,zone_3,Household 12,demo+zone_3_hh11@resend.dev,single_professional
zone_4_hh_00,zone_4,Household 1,demo+zone_4_hh00@resend.dev,family
zone_4_hh_01,zone_4,Household 2,demo+zone_4_hh01@resend.dev,single_professional
zone_4_hh_02,zone_4,Household 3,demo+zone_4_hh02@resend.dev,wfh
zone_4_hh_03,zone_4,Household 4,demo+zone_4_hh03@resend.dev,retired
zone_4_hh_04,zone_4,Household 5,demo+zone_4_hh04@resend.dev,small_business
zone_4_hh_05,zone_4,Household 6,demo+zone_4_hh05@resend.dev,family
zone_4_hh_06,zone_4,Household 7,demo+zone_4_hh06@resend.dev,single_professional
zone_4_hh_07,zone_4,Household 8,demo+zone_4_hh07@resend.dev,wfh
zone_4_hh_08,zone_4,Household 9,demo+zone_4_hh08@resend.dev,retired
zone_4_hh_09,zone_4,Household 10,demo+zone_4_hh09@resend.dev,small_business
zone_4_hh_10,zone_4,Household 11,demo+zone_4_hh10@resend.dev,family
zone_4_hh_11,zone_4,Household 12,demo+zone_4_hh11@resend.dev,single_professional
